Ticker,Premkt %,Premkt Vol,Ext RVol,Daily %,Industry,Mkt Cap,Float,Short Interest,Category,Grade,Direction,Reasoning,AnalysisDetails
CAST,130.67961165048544,36997345,1.634860398404038,75.82524271844659,Internet Software/Services,374350132.6271845,16281233,N/A,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
BFLY,26.26970227670753,1291674,1.8344325840902866,29.246935201401048,Medical Specialties,1928170362.735552,192579287,13.29,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
RUM,16.186556927297676,604479,1.002941830587047,1.9204389574759901,Internet Software/Services,3238577868.561042,87681351,20.3,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
SWBI,15.076474872541882,128590,2.2503275624223606,21.777130371449367,Aerospace & Defense,743935437.2847778,43099311,3.56,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
QS,11.159420289855065,6921784,1.7025011074287308,8.333333333333323,Electrical Products,4598209551.0,484598988,17.57,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
INTC,8.992568125516115,8468801,0.5041960358354569,7.200082576383158,Semiconductors,652471793578.8258,5016601380,2.69,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
HIVE,8.56423173803525,3985538,0.5264476836206561,5.415617128463461,Information Technology Services,1119197944.913701,264844765,N/A,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
WDC,7.290803645401817,298489,0.4888891502449263,10.340808560234786,Computer Peripherals,270840878287.69128,342283143,10.43,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
NUAI,6.806282722513083,299964,0.4177761761540023,1.221640488656185,Engineering & Construction,587487406.2478184,74675724,10.19,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
NBIS,6.208394147591754,349792,0.28576083115326406,1.4168238937737927,Packaged Software,71692693953.62532,210602812,20.31,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
MU,6.164744677383789,1275659,0.26498851636404885,7.429135632051686,Semiconductors,1263840155322.0789,1123572712,3.34,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
CIFR,5.8823529411764595,278352,0.22426235004357178,4.174573055028455,Data Processing Services,11228400547.29222,336782475,15.67,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
ENPH,5.776475512766844,112972,0.3257028120063072,5.703223105902054,Electrical Products,6656468818.238174,127799462,24.43,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
EOSE,5.657894736842102,2166174,0.540607542361385,-1.315789473684206,Electrical Products,2546355253.6184216,335076579,30.81,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
IREN,5.5360523145758025,786224,0.21140170472645886,2.8222336947169175,Data Processing Services,21322234947.40148,327855622,16.05,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
MRVL,5.494922981280641,917924,0.25035183829475866,9.525454168681351,Semiconductors,277416580316.39813,871948152,4.71,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
NVTS,5.4623992837958895,487880,0.21178890862806288,7.520143240823633,Semiconductors,5613790268.35094,210154879,17.35,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
FRMI,4.965357967667433,541662,0.4603978544212381,13.972286374133938,Real Estate Investment Trusts,6292858030.995381,262559447,9.01,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
QUBT,4.912998976458551,859938,0.34097198409501067,3.8382804503582397,Information Technology Services,2288052564.616172,200414900,29.74,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
TTWO,4.801999736876722,153821,0.9261337542845497,3.304389773275445,Packaged Software,43736565703.20357,184760610,4.68,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
AXTI,4.776897188144616,128290,0.3510462559160126,-3.261317989360552,Electronic Production Equipment,5829598562.183347,48948975,11.65,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
KEEL,4.690117252931328,834092,0.20208656910020312,1.6750418760469101,Data Processing Services,3665239554.21273,577562105,12.35,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
BE,4.589634724025399,120817,0.3568696136114247,9.042422541141788,Electronic Production Equipment,88393776552.36281,278991079,11.49,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
AAOI,4.446038006453925,328064,0.31749945290630427,0.07171029042667894,Semiconductors,13437453523.869488,76078970,12.98,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
GLW,4.332953249714934,122233,0.2833514038552892,5.04846066134549,Electronic Components,158576815523.7319,789755694,2.81,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
SNDK,4.2474984684500745,152082,0.30975261619280553,11.13947314682459,Computer Peripherals,322391431788.41534,146012059,9.71,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
WOLF,4.148695830766077,167938,0.2656340594254193,6.294927089751499,Semiconductors,2501789056.48778,23582704,N/A,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
CCL,4.112337011033101,271938,0.2046488256360135,3.677699765964565,Hotels/Resorts/Cruise lines,42895449137.74524,1380153076,3.33,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
AVGO,4.092644438788506,448660,0.2245666431366389,4.228811402392469,Semiconductors,1948300375427.0715,4698538628,1.25,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
WULF,4.091888011486003,341939,0.19620712425256764,2.0459440057430016,Data Processing Services,14087993656.86791,382263793,25.85,Others,C,neutral,לא התקבל ניתוח מהמודל.,"{""Impact"": """", ""Explosiveness"": """", ""DataQuality"": """"}"
